,preco,marca,status
2663,666,Distrito Federal,FAZER
2664,667,Distrito Federal,FAZER
2665,668,Distrito Federal,FAZER
2666,669,Distrito Federal,FAZER
2667,670,Distrito Federal,FAZER
2668,671,Distrito Federal,FAZER
2669,672,Distrito Federal,FAZER
2670,673,Distrito Federal,FAZER
2671,674,Distrito Federal,FAZER
2672,675,Distrito Federal,FAZER
2673,676,Distrito Federal,FAZER
2674,677,Distrito Federal,FAZER
2675,678,Distrito Federal,FAZER
2676,679,Distrito Federal,FAZER
2677,680,Distrito Federal,FAZER
2678,681,Distrito Federal,FAZER
2679,682,Distrito Federal,FAZER
2680,683,Distrito Federal,FAZER
2681,684,Distrito Federal,FAZER
2682,685,Distrito Federal,FAZER
2683,686,Distrito Federal,FAZER
2684,687,Distrito Federal,FAZER
2685,688,Distrito Federal,FAZER
2686,689,Distrito Federal,FAZER
2687,690,Distrito Federal,FAZER
2688,691,Distrito Federal,FAZER
